"SECTION_NAME","SECTION_OFFICE_NAME","GULLY_TYPE_NAME","START_METRES","END_METRES","EASTING","NORTHING"
"7065U9004_04 - GIBSON'S LN: MILL ST TO REGENT ST -  ARDS","ARDS","Side Entry",67,67,348773,374183
"7065A0002_62 - WARREN RD  41: NEW RD TO BOUNDARY SIGN -  ARDS","ARDS","Surface Type",1352,1352,357928,381376
"7065A0022_21 - BELFAST RD 41: BELFAST RD TO BALLYRAINEY RD C266 -  ARDS","ARDS","Surface Type",1110,1110,344441,370947
"7065U9400_14 - CASTLE MEADOWS2: C0255 04 MAIN ST TO END -  ARDS","ARDS","Surface Type",204,204,358242,372317
"7065U9202_20 - ERINDEE PK1: ERINDEE AV TO END -  ARDS","ARDS","Surface Type",35,35,358695,379107
"7065A0023_04 - MONEYREA RD 41: COUNCIL SIGN TO HILLSBOROUGH RD B178 -  ARDS","ARDS","Surface Type",9,9,341324,366727
"7065A0023_03 - MONEYREA RD 41: BALLYCREELY RD U217 TO COUNCIL SIGN -  ARDS","ARDS","Surface Type",1285,1285,341391,366678
"7065U9017_22 - RINGHADDY GDS1: RINGHADDY AV TO END -  ARDS","ARDS","Surface Type",5,5,350688,374005
"7065U0207_42 - TULLYNAGEE RD1: LISBARNETT RD U119 TO BALLYKEIGLE RD -  ARDS","ARDS","Surface Type",106,106,346766,363204
"7065A0002_53 - BALLYWALTER RD  41: GANAWAY RD U151 TO WOBURN RD U114 -  ARDS","ARDS","Surface Type",535,535,361674,372832
