OBJECTID_1,DISTRICT,WARD,MUNICODE,YRAPPROV,MWD_NOPAD,PSEUDONUM,OPA_MUNI,OBJECTID,LABEL,Shape_Leng
131,3,0,207,1990,20703,1168,853,0, ,0
132,5,5,202,1990,20255,1128,944,0, ,0
133,1,0,153,0,15301,0270,832,0, ,0
134,2,4,196,1994,19642,1058,940,0, ,0
135,3,3,196,1994,19633,1055,940,0, ,0
136,4,7,202,1990,20274,1137,944,0, ,0
137,1,3,196,1994,19631,1053,940,0, ,0
138,1,5,202,1990,20251,1124,944,0, ,0
139,2,2,182,1992,18222,0511,931,0, ,0
140,21,0,190,1990,190021,1017,880,0, ,0
141,1,0,186,2004,18601,0572,935,0, ,0
142,3,0,190,1990,19003,0999,880,0, ,0
143,3,5,202,1990,20253,1126,944,0, ,0
144,2,3,196,1994,19632,1054,940,0, ,0
145,2,0,172,1992,17202,0406,925,0, ,0
146,1,1,125,1991,12511,0132,817,0, ,0
147,3,7,202,1990,20273,1136,944,0, ,0
148,1,1,196,1994,19611,1046,940,0, ,0
149,6,0,181,1992,18106,0507,845,0, ,0
150,7,0,223,1992,22307,1270,864,0, ,0
151,1,0,148,0,14801,0238,830,0, ,0
152,4,3,196,1994,19634,1056,940,0, ,0
153,1,4,196,1994,19641,1057,940,0, ,0
154,0,2,125,1991,12520,0134,817,0, ,0
155,5,4,202,1990,20245,1123,944,0, ,0
156,2,0,181,1992,18102,0503,845,0, ,0
157,0,3,176,1975,17630,0474,928,0, ,0
158,4,1,196,1994,19614,1049,940,0, ,0
159,1,0,190,1990,19001,0997,880,0, ,0
160,1,5,182,1992,18251,0516,931,0, ,0
161,3,0,181,1992,18103,0504,845,0, ,0
162,4,5,202,1990,20254,1127,944,0, ,0
163,2,1,196,1994,19612,1047,940,0, ,0
164,2,1,125,1991,12512,0133,817,0, ,0
165,2,4,202,1990,20242,1120,944,0, ,0
166,2,2,202,1990,20222,1110,944,0, ,0
167,5,0,223,1992,22305,1268,864,0, ,0
168,4,0,223,1992,22304,1267,864,0, ,0
169,4,2,202,1990,20224,1112,944,0, ,0
170,3,0,223,1992,22303,1266,864,0, ,0
171,6,0,223,1992,22306,1269,864,0, ,0
172,3,0,144,1992,14403,0220,868,0, ,0
173,1,3,125,1991,12531,0135,817,0, ,0
174,2,0,223,1992,22302,1265,864,0, ,0
175,7,0,172,1992,17207,0411,925,0, ,0
176,0,2,176,1975,17620,0473,928,0, ,0
177,10,0,172,1992,172010,0414,925,0, ,0
178,19,0,190,1990,190019,1015,880,0, ,0
179,2,3,125,1991,12532,0136,817,0, ,0
180,1,4,125,1991,12541,0137,817,0, ,0
181,1,2,202,1990,20221,1109,944,0, ,0
182,4,0,181,1992,18104,0505,845,0, ,0
183,2,0,138,1975,13802,0197,826,0, ,0
184,1,0,223,1992,22301,1264,864,0, ,0
185,2,7,196,1994,19672,1070,940,0, ,0
186,5,0,181,1992,18105,0506,845,0, ,0
187,1,7,202,1990,20271,1134,944,0, ,0
188,1,2,182,1992,18221,0510,931,0, ,0
189,3,0,195,1992,19503,1039,939,0, ,0
190,0,1,176,1975,17610,0472,928,0, ,0
191,1,0,181,1992,18101,0502,845,0, ,0
192,2,6,196,1994,19662,1066,940,0, ,0
193,2,7,202,1990,20272,1135,944,0, ,0
194,1,0,109,0,10901,0040,805,0, ,0
195,2,4,182,1992,18242,0515,931,0, ,0
196,2,4,125,1991,12542,0138,817,0, ,0
197,5,8,185,1990,18585,0565,934,0, ,0
