Sample_Ide,Easting,Northing,Auppb,Ptppb,Pdppb
554826,245537,341340,1.4489344,1.5296258,0.3691068
554827,249676,337492,1.4592064,2.9704353,0.0864723
554829,253652,337454,1.5177568,2.7889631,-0.1336851
554830,248750,332278,1.8752224,4.0672453,0.3443143
554831,240477,334583,-0.0795392,-0.6540232,-0.8596095
554832,253455,331599,2.227552,8.2760044,0.8342141
554833,242540,336748,1.9111744,4.4770534,0.5773638
554834,252324,340673,3.0277408,2.6354097,0.2540696
554835,251824,333789,1.7427136,4.104138,0.0031695
554836,248817,336555,2.258368,9.0906351,-0.1326934
554838,260586,354540,3.3338464,4.8260384,0.9135501
554839,253209,341223,2.6343232,12.3710941,0.2183684
554840,247444,327242,4.3209856,19.2530783,1.267587
554841,249492,341800,1.44688,3.0641627,-0.0533574
554842,244762,334909,1.8002368,4.4670824,-0.0236064
554843,242624,334779,2.9188576,8.9959106,0.4305922
554844,249686,333784,2.4319648,10.3499724,0.1310988
554845,245122,335840,1.606096,4.8798818,-0.0682329
554846,262205,356355,2.4453184,4.5767634,0.3224969
554847,251297,339591,2.2080352,7.9160513,0.3393558
554848,251427,341473,2.3384896,3.9206716,0.474227
554849,254444,330779,2.2830208,9.4814983,0.2867957
554850,255632,331541,2.2008448,9.4515853,0.4514179
554851,250686,330774,2.3693056,13.8697354,0.1618415
554852,246823,334881,3.3605536,17.7394805,0.523812
554853,246472,342467,2.2244704,11.6511879,0.2629949
554854,252738,342131,2.8068928,10.8923948,0.2887791
554855,247300,341510,1.6358848,0.6890705,1.2011431
554856,247748,333760,1.5259744,2.5347026,0.2520862
554857,251466,331457,1.9789696,2.0142164,0.4831523
554859,252137,334295,1.4509888,1.1108438,0.2867957
554860,247627,325508,1.6081504,0.0509265,0.4861274
554861,241640,337804,1.7971552,0.9862063,0.3413392
554862,241494,335678,1.3688128,0.3769782,0.216385
554863,252665,332430,1.1777536,2.6294271,0.2134099
554864,248415,342132,1.2660928,1.7739153,0.295721
554865,248605,330559,1.354432,1.5146693,0.246136
554866,244437,338670,1.1931616,0.3500565,0.1558913
554867,247634,323498,2.4247744,1.5196548,0.5823223
554868,262542,354267,1.4170912,2.7600472,0.26597
554869,245174,333229,1.102768,0.7229719,-0.0186479
554870,249331,339741,1.513648,0.3919347,0.4881108
554871,259518,359503,1.580416,0.3799695,-0.0087309
554872,254478,334337,1.3873024,0.1735698,0.0953976
554873,261201,353519,2.7401248,1.1158293,0.4712519
554874,246386,338434,1.0986592,0.0369671,-0.0345151
554875,248414,326822,4.8376672,0.7369313,0.216385
554876,261341,359081,4.918816,2.0989699,0.3581981
554878,255222,333774,21.646768,1.0061483,0.5545547
554879,246543,320628,2.6312416,-0.0019198,0.7290939
