FID,AREA,PERIMETER,WOODLAND_,WOODLAND_I,NATURE_COD,Shape_Leng,Shape_Area,Acres
325,145699.2539,2217.564038,583,1202,310,2217.56415,145699.249403,3.344808
326,289585.771407,3083.000433,4187,1346,310,3083.000368,289585.769726,6.648001
327,313585.462345,3970.205844,117,0,0,3970.205902,313585.459328,7.19896
328,11260.5215,1095.700588,278,4862,310,1095.700649,11260.533389,0.258507
329,4399303.05243,16422.607527,318,0,0,16422.607256,4399303.03053,100.994505
330,348400.908845,2933.567861,71,0,0,2933.567897,348400.904278,7.998216
331,589196.267477,5849.399536,319,0,0,5849.399359,589196.239709,13.526139
332,10118633.4245,36631.42201,118,1238,310,36631.421576,10118633.4396,232.29279
333,725970.959319,5949.264379,72,816,310,5949.264161,725970.966517,16.666067
334,31466.013744,2924.382815,584,1294,310,2924.382876,31466.014996,0.722363
335,176403.673005,2942.47591,6068,961,310,2942.475904,176403.658786,4.049687
336,25592,763.130499,279,4863,310,763.130509,25592.008927,0.587514
337,17547,824.420987,320,4885,310,824.420949,17546.988666,0.402825
338,138840.728831,4123.708424,4188,287,310,4123.708514,138840.743266,3.187358
339,918642.673007,5908.932117,119,0,0,5908.932365,918642.658639,21.089218
340,23029.198328,721.2503,321,5765,0,721.250268,23029.194636,0.52868
341,46378.26954,888.212118,6069,1001,310,888.212075,46378.264039,1.064703
342,47259.723205,1442.076335,585,0,0,1442.076462,47259.726479,1.084938
343,14085.5,1117.981306,280,4891,310,1117.981422,14085.493116,0.32336
344,899490.527165,6630.89864,73,1526,310,6630.89861,899490.520226,20.649544
345,730597.685185,5330.284341,322,779,310,5330.284304,730597.693786,16.772282
346,63685.029296,1318.834383,120,928,310,1318.834338,63685.016069,1.462013
347,50338.44,1303.362983,6070,84,310,1303.362865,50338.434779,1.155616
348,211963.421807,2504.250013,586,2302,310,2504.249831,211963.414291,4.86603
349,45139.156087,1233.41079,121,0,0,1233.41094,45139.158163,1.036257
350,154552.836872,2542.148469,323,1101,310,2542.148451,154552.833193,3.548059
351,73281.624841,1493.042677,281,768,310,1493.042619,73281.617829,1.682321
352,577800.827078,4706.903,6071,1049,310,4706.902929,577800.841243,13.264535
353,38758.647979,839.73373,4189,875,310,839.73365,38758.642316,0.88978
354,677828.023452,6008.069946,587,2014,310,6008.069778,677828.015402,15.560852
355,402858.566796,4361.64726,122,821,310,4361.647312,402858.571814,9.248397
356,783421.424552,3597.941673,324,646,310,3597.941755,783421.495499,17.984955
357,696757.232517,4320.241113,282,2095,310,4320.24105,696757.220261,15.995409
358,29803.143667,893.896326,4190,2394,310,893.89632,29803.143405,0.684189
359,52920.790688,1351.373724,6072,0,0,1351.373709,52920.779129,1.214899
360,39573.833082,808.849412,4191,584,310,808.849527,39573.84365,0.908494
361,58884.854375,922.107633,6073,528,310,922.107655,58884.854454,1.351816
362,15046.46,488.475728,325,4081,310,488.475859,15046.463737,0.345421
363,17441.305436,572.499883,123,5748,0,572.499984,17441.305661,0.400399
